Date,Article Title,Operative,City/Town,State/Provence,Country,Reference,NumberPeopleAffected,OutageDurationMinutes
11/19/2018,Power failure: Suddenly everything was dark,Squirrel,Herzogenaurach,,Germany,"https://www.infranken.de/regional/erlangenhoechstadt/stromausfall-ploetzlich-war-alles-dunkel;art215,3861850",,20
11/19/2018,Squirrel Blamed For Upstate NY Power Outage,Squirrel,New York,NY,United States,https://newyork.cbslocal.com/2018/11/19/squirrel-power-outage/,,
11/18/2018,"Squirrel knocks out power for more than 12,500 in Erie County",Squirrel,Erie,NY,United States,https://buffalonews.com/2018/11/18/more-than-12500-without-power-in-erie-county/,12500,
11/16/2018,"Power restored in Jennings after squirrel causes outage for over 2,000",Squirrel,Jennings,LA,United States,http://www.kplctv.com/2018/11/17/over-without-power-jennings/,2000,
11/9/2018,Video shows sparks fly as bird causes power outage in Clark County,Bird,Enon,OH,United States,https://www.whio.com/news/local/large-outage-impacts-over-500-customers-montgomery-county/1qk3sVvFfERPwb5EcxJlHI/,12000,
11/6/2018,"Poll workers, voters undaunted by squirrel-induced Election Day power outage in Blacksburg",Squirrel,Blacksburg,VA,United States,https://www.roanoke.com/news/politics/poll-workers-voters-undaunted-by-squirrel-induced-election-day-power/article_20f519cd-15de-530a-8fe9-4c8fdc2d7e5f.html,,120
10/31/2018,"Animal guard no match for red squirrel, whose shenanigans cut power for thousands of Mainers",Squirrel,Portland,ME,United States,https://bangordailynews.com/2018/10/31/news/portland/animal-guard-no-match-for-red-squirrel-whose-shenanigans-cut-power-for-thousands-of-mainers/,3400,
10/26/2018,"Squirrel causes brief power outage to about 3,500 customers in Oshkosh",Squirrel,Oshkosh,WI,United States,https://www.thenorthwestern.com/story/news/local/oshkosh/2018/10/26/power-outage-affects-downtown-oshkosh/1779709002/,3500,50
10/25/2018,Squirrel briefly cuts off power in part of Longmont Thursday afternoon,Squirrel,Longmont,CO,United States,http://www.timescall.com/longmont-local-news/ci_32230850/squirrel-briefly-cuts-off-power-part-longmont-thursday,,
10/24/2018,"Charleston County power outages were caused by wildlife, SCE&G says",Squirrel,Charleston,SC,United States,https://www.postandcourier.com/news/charleston-county-power-outages-were-caused-by-wildlife-sce-g/article_0406f084-d79b-11e8-b368-1f8b8a585dc4.html,3000,120
10/18/2018,City of Stillwater says animal caused Wednesday's power outage,Animal,Sillwater,OK,United States,https://www.stwnewspress.com/news/city-of-stillwater-says-animal-caused-wednesday-s-power-outage/article_414750e6-d2fb-11e8-8717-27b5f4f33d78.html,4400,60
10/16/2018,Rats paralyze Biel city center,Rat,Biel,,Switzerland,https://www.20min.ch/schweiz/bern/story/Biel-ist-in-Schwarz-gehuellt-19015100,,88
10/15/2018,"Squirrel knocks out power to 2,296 in New Jersey",Squirrel,Hackettstown,NJ,United States,https://www.upi.com/Odd_News/2018/10/15/Squirrel-knocks-out-power-to-2296-in-New-Jersey/4351539628341/#ixzz5dFoqxguV,2900,
9/27/2018,Hungry Siberian Beaver Leaves Hundreds of Locals Without Electricity,Beaver,Altai,Soltonsky,Russia,https://themoscowtimes.com/news/hungry-siberian-beaver-leaves-hundreds-locals-without-electricity-63008,1500,
9/17/2018,"Power restored to 7,500 New Orleans customers after 'unusual' cat intrusion, Entergy says",Cat,New Orleans,LA,United States,https://www.theadvocate.com/new_orleans/news/article_7a06c302-ba88-11e8-90d8-8b5b8dd6d059.html,7500,165
9/16/2018,Bas-en-Basset: a bird deprives several hundred households of electric current,Bird,La Mure,,France,https://www.lacommere43.fr/monistrol-et-environs/item/17639-bas-en-basset-un-oiseau-prive-plusieurs-centaines-de-foyers-de-courant-electrique.html,,
9/12/2018,"1,700 people lose power in Mt. Horeb",Animal,Mt. Horeb,WI,United States,https://www.channel3000.com/news/1-700-people-lose-power-in-mt-horeb-after-squirrel-causes-transformer-failure/794222339,1700,90
9/12/2018,"Squirrel causes power outage in South Tyler, more than 1,000 affected",Squirrel,South Tyler,TX,United States,https://www.cbs19.tv/article/news/local/squirrel-causes-power-outage-in-south-tyler-more-than-1000-affected/501-593537474,1000,
9/12/2018,SQUIRREL CAUSES POWER OUTAGE AT MANCHESTER MIDDLE SCHOOL,Squirrel,Manchester,MA,United States,http://wobm.com/squirrel-causes-power-outage-at-manchester-middle-school/,500,
9/10/2018,Squirrels Blamed For North Shore Power Outages,Squirrel,Boston,MA,United States,https://boston.cbslocal.com/2018/09/10/squirrels-power-outages-reading-wilmington/,,
9/10/2018,"Squirrel in Newmarket knocks out power for 11,000 homes in Stouffville",Squirrel,Newmarket,,Canada,https://www.yorkregion.com/news-story/8891648-squirrel-in-newmarket-knocks-out-power-for-11-000-homes-in-stouffville/,11000,420
